gutenberg_id,title,author,publication_year,era,decade
51145,"Asmodeus; or, The Devil on Two Sticks",Alain René Le Sage,1707,Age of Reason,1700s
21346,"The Sot-weed Factor: or, A Voyage to Maryland. A Satyr.",Ebenezer Cooke,1708,Age of Reason,1700s
37195,The Beaux-Stratagem: A comedy in five acts,George Farquhar,1707,Age of Reason,1700s
36234,"The Stolen Heiress; or, The Salamanca Doctor Outplotted. A Comedy",Centlivre,1702,Age of Reason,1700s
63497,Medicina Gymnastica,Francis Fuller,1705,Age of Reason,1700s
49009,"The Tatler, Volume 4",Sir Richard Steele and Joseph Addison,1709,Age of Reason,1700s
1292,The Way of the World,William Congreve,1700,Age of Reason,1700s
1838,A New Voyage to Carolina,John Lawson,1709,Age of Reason,1700s
4737,A Tale of a Tub,Jonathan Swift,1704,Age of Reason,1700s
16740,The Busie Body,Susanna Centlivre,1709,Age of Reason,1700s
57829,"ΝΕΚΡΟΚΗΔΕΙΑ; Or, the Art of Embalming;",Thomas Greenhill,1705,Age of Reason,1700s
36587,A True Relation of the Apparition of one Mrs. Veal,Daniel Defoe,1706,Age of Reason,1700s
9800,"The Rape of the Lock, and Other Poems",Alexander Pope,1712,Age of Reason,1710s
4208,The Journal to Stella,Jonathan Swift,1710,Age of Reason,1710s
9334,"The Spectator, Volume 1",Joseph Addison and Sir Richard Steele,1711,Age of Reason,1710s
4723,A Treatise Concerning the Principles of Human Knowledge,George Berkeley,1710,Age of Reason,1710s
20735,Mrs. Mary Eales's receipts. (1733),Mary Eales,1718,Age of Reason,1710s
8142,The Riot Act,Great Britain. Parliament,1714,Age of Reason,1710s
561,The Further Adventures of Robinson Crusoe,Daniel Defoe,1719,Age of Reason,1710s
17147,Theodicy,Freiherr von Gottfried Wilhelm Leibniz,1710,Age of Reason,1710s
13439,Divine Songs,Isaac Watts,1715,Age of Reason,1710s
75039,A new discovery for finding the longitude,William Hobbs,1714,Age of Reason,1710s
52769,"A True Account of the Voyage of the Nottingham-Galley of London,",Langman et al.,1711,Age of Reason,1710s
11239,"The Life and Adventures of Robinson Crusoe of York, Mariner, Volume 1",Defoe,1719,Age of Reason,1710s
30505,"Jane Shore : A tragedy, in five acts",Nicholas Rowe,1714,Age of Reason,1710s
66678,"The Adventures of Gil Blas of Santillane, Volume 2 (of 3)",Alain René Le Sage,1715,Age of Reason,1710s
69311,Onanism display'd,"Curll, Edmund",1719,Age of Reason,1710s
27385,"The conspirators; or, The chevalier d'Harmental",Dumas and Maquet,1718,Age of Reason,1710s
32405,Augusta Triumphans,Daniel Defoe,1728,Age of Reason,1720s
53161,A View of Sir Isaac Newton's Philosophy,Henry Pemberton,1728,Age of Reason,1720s
35719,The History of the Five Indian Nations of Canada,Cadwallader Colden,1727,Age of Reason,1720s
24439,Pirates,active 1724-1731 Charles Johnson,1724,Age of Reason,1720s
68704,A True Interpretation of the Witch of Endor,Lodowick Muggleton,1724,Age of Reason,1720s
57576,A Method of Tanning without Bark,William Maple,1729,Age of Reason,1720s
40639,The Gentle Shepherd: A Pastoral Comedy,Allan Ramsay,1725,Age of Reason,1720s
35774,A New Voyage Round the World,a Course Never Sailed Before ,1725,Age of Reason,1720s
15784,The Chronology of Ancient Kingdoms Amended,Isaac Newton,1728,Age of Reason,1720s
62355,A Voyage Round the World,William Betagh,1728,Age of Reason,1720s
31548,A Succinct Account of the Plague at Marseilles,"Chicoyneau, Soulier, and Verny",1721,Age of Reason,1720s
67612,"Love in Excess; or, the Fatal Enquiry",Eliza Fowler Haywood,1722,Age of Reason,1720s
25063,The Beggar's Opera; to Which is Prefixed the Musick to Each Song,John Gay,1728,Age of Reason,1720s
30653,The Revenge: A Tragedy,Edward Young,1721,Age of Reason,1720s
31807,The Plague at Marseilles Consider'd,Richard Bradley,1721,Age of Reason,1720s
1080,A Modest Proposal,Jonathan Swift,1729,Age of Reason,1720s
37923,The Old Debauchees. A Comedy,Henry Fielding,1732,Age of Reason,1730s
2428,An Essay on Man; Moral Essays and Satires,Alexander Pope,1734,Age of Reason,1730s
2445,Letters on England,Voltaire,1734,Age of Reason,1730s
40127,"Joe Miller's Jests, or The Wits Vade-Mecum",John Mottley and Joe Miller,1739,Age of Reason,1730s
49564,A Treatise of Buggs,John Southall,1730,Age of Reason,1730s
62856,A Treatise of Human Nature,David Hume,1739,Age of Reason,1730s
60186,Polite Conversation in Three Dialogues,Jonathan Swift,1731,Age of Reason,1730s
468,Manon Lescaut,abbé Prévost,1731,Age of Reason,1730s
25305,Memoirs of Fanny Hill,John Cleland,1748,Age of Reason,1740s
70326,The art of preserving health: A poem,John Armstrong,1744,Age of Reason,1740s
65066,"The Life of Rev. David Brainerd, Chiefly Extracted from His Diary",David Brainerd,1749,Age of Reason,1740s
44065,"An Apology for the Life of Mr. Colley Cibber, Volume 2 (of 2)",Colley Cibber,1740,Age of Reason,1740s
9662,An Enquiry Concerning Human Understanding,David Hume,1748,Age of Reason,1740s
65414,Travels into Turkey,Ogier Ghislain de Busbecq,1744,Age of Reason,1740s
54672,"Les Bijoux Indiscrets, or, The Indiscreet Toys",Denis Diderot,1748,Age of Reason,1740s
6124,"Pamela, or Virtue Rewarded",Samuel Richardson,1740,Age of Reason,1740s
9609,"Joseph Andrews, Vol. 2",Henry Fielding,1742,Age of Reason,1740s
45639,"Buffon's Natural History, Volume 03 (of 10)",Buffon,1749,Age of Reason,1740s
71866,War : A poem in blank verse,John Spateman,1745,Age of Reason,1740s
7074,Beauty and the Beast,Jeanne-Marie Leprince de Beaumont,1740,Age of Reason,1740s
71304,A mechanical and critical enquiry into the nature of hermaphrodites,Parsons,1741,Age of Reason,1740s
4085,The Adventures of Roderick Random,T. Smollett,1748,Age of Reason,1740s
