gutenberg_id,title,author,publication_year,era,decade
71304,A mechanical and critical enquiry into the nature of hermaphrodites,Parsons,1741,Age of Reason,1740s
67363,The Theory of Moral Sentiments,Adam Smith,1777,Age of Reason,1770s
39060,"Wild Oats; or, The Strolling Gentlemen",John O'Keeffe,1791,Age of Reason,1790s
37311,"The Journal, with Other Writings of John Woolman",John Woolman,1774,Age of Reason,1770s
147,Common Sense,Thomas Paine,1776,Age of Reason,1770s
8646,"An Essay on the History of Civil Society, Eighth Edition",Adam Ferguson,1767,Age of Reason,1760s
69736,"Young Grandison, volume 2 (of 2)",Madame de Cambon,1790,Age of Reason,1790s
4085,The Adventures of Roderick Random,T. Smollett,1748,Age of Reason,1740s
20934,"The Natural History of Selborne, Vol. 2",Gilbert White,1789,Age of Reason,1780s
17147,Theodicy,Freiherr von Gottfried Wilhelm Leibniz,1710,Age of Reason,1710s
66230,An Address to the People of New-England,Samuel Hopkins,1757,Age of Reason,1750s
69595,"The life of John Metcalf, commonly called Blind Jack of Knaresborough",Metcalf,1795,Age of Reason,1790s
57576,A Method of Tanning without Bark,William Maple,1729,Age of Reason,1720s
35774,A New Voyage Round the World,a Course Never Sailed Before ,1725,Age of Reason,1720s
5203,The Village and The Newspaper,George Crabbe,1783,Age of Reason,1780s
54531,"Travels to Discover the Source of the Nile, Volume 3 (of 5)",James Bruce,1790,Age of Reason,1790s
60058,Giphantia,Charles-François Tiphaigne de La Roche,1760,Age of Reason,1760s
1292,The Way of the World,William Congreve,1700,Age of Reason,1700s
10859,Paul and Virginia from the French of J.B.H. de Saint Pierre,Saint-Pierre,1788,Age of Reason,1780s
70326,The art of preserving health: A poem,John Armstrong,1744,Age of Reason,1740s
63497,Medicina Gymnastica,Francis Fuller,1705,Age of Reason,1700s
27884,Niels Klim's journey under the ground,Ludvig Holberg,1741,Age of Reason,1740s
35719,The History of the Five Indian Nations of Canada,Cadwallader Colden,1727,Age of Reason,1720s
2060,The History of Caliph Vathek,William Beckford,1786,Age of Reason,1780s
35623,"A Philosophical Dictionary, Volume 03",Voltaire,1764,Age of Reason,1760s
4280,The Critique of Pure Reason,Immanuel Kant,1781,Age of Reason,1780s
48528,The great probability of a North West Passage,Drage and Swaine,1768,Age of Reason,1760s
13439,Divine Songs,Isaac Watts,1715,Age of Reason,1710s
2423,"Anecdotes of the late Samuel Johnson, LL.D.",Hester Lynch Piozzi,1786,Age of Reason,1780s
69116,A discourse on the theory of gunnery,Sir John Pringle,1778,Age of Reason,1770s
68412,"Philosophical transactions, Vol. L. Part II. For the year 1758.",Various et al.,1759,Age of Reason,1750s
49840,The Present Method of Inoculating for the Small-Pox,Thomas Dimsdale,1779,Age of Reason,1770s
31807,The Plague at Marseilles Consider'd,Richard Bradley,1721,Age of Reason,1720s
73012,"The works of the Reverend George Whitefield, Vol. 3 (of 6)",George Whitefield,1771,Age of Reason,1770s
59698,Observations on antimony,John Millar,1774,Age of Reason,1770s
54911,An Account of the Sore Throat Attended With Ulcers,John Fothergill,1748,Age of Reason,1740s
47379,A Bold Stroke for a Husband: A Comedy in Five Acts,Hannah Cowley,1783,Age of Reason,1780s
9604,"Hung Lou Meng, or, the Dream of the Red Chamber, a Chinese Novel, Book II",Cao,1791,Age of Reason,1790s
696,The Castle of Otranto,Horace Walpole,1764,Age of Reason,1760s
36621,"Inkle and Yarico: An opera, in three acts",George Colman,1787,Age of Reason,1780s
56803,Physical Amusements and Diverting Experiments,Giuseppe Pinetti,1784,Age of Reason,1780s
34544,This is not a Story,Denis Diderot,1772,Age of Reason,1770s
59449,History of the government of the island of Newfoundland,John Reeves,1793,Age of Reason,1790s
71866,War : A poem in blank verse,John Spateman,1745,Age of Reason,1740s
51334,The Story of Elizabeth Canning Considered,John Hill,1753,Age of Reason,1750s
69922,"Dairying exemplified, or, The business of cheese-making",J. Twamley,1787,Age of Reason,1780s
34601,"Gammer Gurton's Garland; Or, The Nursery Parnassus",Joseph Ritson,1784,Age of Reason,1780s
1958,Hermann and Dorothea,Johann Wolfgang von Goethe,1796,Age of Reason,1790s
71849,"Travels into North America, Volume 1 (of 3)",Pehr Kalm,1770,Age of Reason,1770s
65066,"The Life of Rev. David Brainerd, Chiefly Extracted from His Diary",David Brainerd,1749,Age of Reason,1740s
74443,Ander,Wold ,1923,Modernist,1920s
74631,"Paris : or, the future of war",Sir Basil Henry Liddell Hart,1925,Modernist,1920s
40477,With Fire and Sword,S. H. M. Byers,1911,Modernist,1910s
71974,The reformation in Poland : Some social and economic aspects,Paul Fox,1924,Modernist,1920s
22880,Bell's Cathedrals: A Short Account of Romsey Abbey,Rev. Thomas Perkins,1907,Modernist,1900s
46901,Giordano Bruno,J. Lewis McIntyre,1903,Modernist,1900s
38348,The Energy System of Matter: A Deduction from Terrestrial Energy Phenomena,Weir,1912,Modernist,1910s
75117,Writing and rewriting,"George Carver, Thomas A. Knott, and William S. Maulsby",1923,Modernist,1920s
36017,"Oscar Wilde, a Critical Study",Arthur Ransome,1912,Modernist,1910s
70451,Haeckel : his life and work,Wilhelm Bölsche,1906,Modernist,1900s
52817,Lightships and Lighthouses,Frederick Arthur Ambrose Talbot,1913,Modernist,1910s
930,The Cook's Decameron,Mrs. W. G. Waters,1901,Modernist,1900s
37388,Tobacco Leaves: Being a Book of Facts for Smokers,William Augustine Brennan,1915,Modernist,1910s
56218,Following the Sun-Flag: A Vain Pursuit Through Manchuria,Jr. John Fox,1905,Modernist,1900s
30300,Orphans of the Storm,Henry MacMahon,1922,Modernist,1920s
61441,The Little Green Goblin,J. B. Naylor,1907,Modernist,1900s
65145,Essays of a Biologist,Julian Huxley,1923,Modernist,1920s
72380,Radio mates,Benjamin Witwer,1927,Modernist,1920s
34510,Some Constituents of the Poison Ivy Plant (Rhus Toxicodendron),Syme,1906,Modernist,1900s
60518,Military Architecture in England During the Middle Ages,A. Hamilton Thompson,1912,Modernist,1910s
34569,Life Everlasting,John Fiske,1901,Modernist,1900s
36224,Notes on the Kiowa Sun Dance,Leslie Spier,1921,Modernist,1920s
45179,The Invention of the Track Circuit,American Railway Association,1922,Modernist,1920s
2384,The Deliverance: A Romance of the Virginia Tobacco Fields,Glasgow,1904,Modernist,1900s
72274,A song-bird,Eleanora H. Stooke,1908,Modernist,1900s
64809,An Adventure,C. A. E. Moberly and Eleanor F. Jourdain,1911,Modernist,1910s
70587,Terry,James Hilton,1927,Modernist,1920s
39011,Disease in plants,H. Marshall Ward,1901,Modernist,1900s
28043,Ships in Harbour,David Morton,1921,Modernist,1920s
70869,"The Ballantyne Press and its founders, 1796-1908",James Ballantyne and Co. et al.,1909,Modernist,1900s
19117,Sergeant York And His People,Sam K. Cowan,1922,Modernist,1920s
31368,"Glimpses of the Past: History of the River St. John, A.D. 1604-1784",Raymond,1905,Modernist,1900s
52522,The Gold Coast Regiment in the East African Campaign,Sir Hugh Charles Clifford,1920,Modernist,1920s
71856,"The boy mechanic, book 3 : 800 things for boys to do",H. H. Windsor,1919,Modernist,1910s
74582,The Wolf-slayer; [Margaret Kaurner],Christoph von Schmid,1911,Modernist,1910s
69102,The Moon,Oliver C. Farrington,1925,Modernist,1920s
59900,The Mud Larks,Crosbie Garstin,1919,Modernist,1910s
23613,"Las Casas: ""The Apostle of the Indies""",Alice J. Knight,1917,Modernist,1910s
41288,Beginners' Book in Language. A Book for the Third Grade,Harry Jewett Jeschke,1918,Modernist,1910s
1840,The Financier: A Novel,Theodore Dreiser,1912,Modernist,1910s
1329,A Voyage to Arcturus,David Lindsay,1920,Modernist,1920s
66597,Early Carriages and Roads,Sir Walter Gilbey,1903,Modernist,1900s
64419,Tales of an Old Sea Port,Wilfred Harold Munro,1917,Modernist,1910s
42723,The Unmasking of Robert-Houdin,Harry Houdini,1908,Modernist,1900s
41765,Half a Hundred Hero Tales of Ulysses and The Men of Old,Storr and Papé,1913,Modernist,1910s
65827,Frederick the Great and the Seven Years' War,Ferdinand Schrader,1905,Modernist,1900s
22417,The Etiquette of To-day,Edith B. Ordway,1920,Modernist,1920s
67937,The Song of Tiadatha,Owen Rutter,1920,Modernist,1920s
14716,The Art of Soul-Winning,J. W. Mahood,1901,Modernist,1900s
63087,Color Standards and Color Nomenclature,Robert Ridgway,1912,Modernist,1910s
25986,Tongues of Conscience,Robert Hichens,1971,Postmodern,1970s
46775,Tea Drinking in 18th-Century America: Its Etiquette and Equipage,Rodris Roth,1961,Postmodern,1960s
54585,Mariner Mission to Venus,Jet Propulsion Laboratory,1963,Postmodern,1960s
62266,The Road Past Kennesaw: The Atlanta Campaign of 1864,Richard M. McMurry,1972,Postmodern,1970s
65812,Survivors,Arthur Dekker Savage,1952,Postmodern,1950s
39690,Harpsichords and Clavichords,Cynthia A. Hoover,1969,Postmodern,1960s
39184,Checklist,Marion Zimmer Bradley and Gene Damon,1960,Postmodern,1960s
