gutenberg_id,title,author,lccn,wikipedia_url,publication_year,era
41646,"Emmeline, the Orphan of the Castle",Charlotte Smith,,https://en.wikipedia.org/wiki/Emmeline,1788,Age of Reason
49817,"A Tour Up the Straits, from Gibraltar to Constantinople",Captain David Sutherland,05007362,,1790,Age of Reason
29734,Experiments and Observations on Different Kinds of Air,Joseph Priestley,,https://en.wikipedia.org/wiki/Experiments_and_Observations_on_Different_Kinds_of_Air,1774,Age of Reason
65066,"The Life of Rev. David Brainerd, Chiefly Extracted from His Diary",David Brainerd,,https://en.wikipedia.org/wiki/The_Life_of_David_Brainerd,1749,Age of Reason
731,History of the Decline and Fall of the Roman Empire — Volume 1,Edward Gibbon,,https://en.wikipedia.org/wiki/The_History_of_the_Decline_and_Fall_of_the_Roman_Empire,1776,Age of Reason
36483,"Wilhelm Meister's Apprenticeship and Travels, Vol. I (of 2)",Goethe,,https://en.wikipedia.org/wiki/Wilhelm_Meister%27s_Apprenticeship,1795,Age of Reason
60058,Giphantia,Charles-François Tiphaigne de La Roche,,https://en.wikipedia.org/wiki/Giphantie,1760,Age of Reason
71866,War : A poem in blank verse,John Spateman,,,1745,Age of Reason
15784,The Chronology of Ancient Kingdoms Amended,Isaac Newton,,https://en.wikipedia.org/wiki/The_Chronology_of_Ancient_Kingdoms_Amended,1728,Age of Reason
47233,Dr. Stearns's Tour from London to Paris,Samuel Stearns,01006080,,1790,Age of Reason
30802,"Commentaries on the Laws of England, Book the First",Sir William Blackstone,,https://en.wikipedia.org/wiki/Commentaries_on_the_Laws_of_England,1765,Age of Reason
2421,The Beggar's Opera,John Gay,,https://en.wikipedia.org/wiki/The_Beggar%27s_Opera,1728,Age of Reason
68362,Memorials of Human Superstition,Jean Louis de Lolme,,,1784,Age of Reason
468,Manon Lescaut,abbé Prévost,,https://en.wikipedia.org/wiki/Manon_Lescaut,1731,Age of Reason
11323,"Caleb Williams; Or, Things as They Are",William Godwin,,"https://en.wikipedia.org/wiki/Things_as_They_Are;_or,_The_Adventures_of_Caleb_Williams",1794,Age of Reason
75039,A new discovery for finding the longitude,William Hobbs,,,1714,Age of Reason
62519,A journey round my room,Xavier de Maistre,,https://en.wikipedia.org/wiki/A_Journey_Around_My_Room,1794,Age of Reason
1146,The Journal of a Voyage to Lisbon,Henry Fielding,,https://en.wikipedia.org/wiki/The_Journal_of_a_Voyage_to_Lisbon,1755,Age of Reason
69256,Considerations on the Negroe cause commonly so called,Samuel Estwick,,,1788,Age of Reason
11239,"The Life and Adventures of Robinson Crusoe of York, Mariner, Volume 1",Defoe,,https://en.wikipedia.org/wiki/Robinson_Crusoe,1719,Age of Reason
68144,Thoughts upon slavery,John Wesley,,,1792,Age of Reason
30505,"Jane Shore : A tragedy, in five acts",Nicholas Rowe,,https://en.wikipedia.org/wiki/Jane_Shore_(play),1714,Age of Reason
72554,A short introduction to English grammar : with critical notes,Robert Lowth,10026518,,1762,Age of Reason
1945,Egmont,Johann Wolfgang von Goethe,,https://en.wikipedia.org/wiki/Egmont_(play),1788,Age of Reason
39726,"The Rolliad, in Two Parts","Tickell, Ellis, Laurence, and Richardson",,https://en.wikipedia.org/wiki/Rolliad,1784,Age of Reason
69818,An essay towards a natural history of serpents,Charles Owen,06018113,,1742,Age of Reason
30524,Percy: A Tragedy,Hannah More,,https://en.wikipedia.org/wiki/Percy_(play),1777,Age of Reason
804,A Sentimental Journey Through France and Italy,Laurence Sterne,,https://en.wikipedia.org/wiki/A_Sentimental_Journey_Through_France_and_Italy,1768,Age of Reason
3901,The Confessions of Jean Jacques Rousseau — Volume 01,Jean-Jacques Rousseau,,https://en.wikipedia.org/wiki/Confessions_(Rousseau),1782,Age of Reason
52769,"A True Account of the Voyage of the Nottingham-Galley of London,",Langman et al.,04029761,,1711,Age of Reason
56063,Oxford Mountaineering Essays,Arnold Lunn,13000567,,1912,Modernist
39084,William Hickling Prescott,Harry Thurston Peck,05013310,,1905,Modernist
56777,The Evolution of Naval Armament,Frederick Leslie Robertson,21009066,,1921,Modernist
19066,Brigands of the Moon,Ray Cummings,,,1931,Modernist
45915,The Pacification of Burma,C. H. T. Crosthwaite,12014982,,1912,Modernist
53067,Color Cement Handicraft,Pedro J. Lemos and Reta A. Lemos,22015572,,1922,Modernist
11012,The Autobiography of an Ex-Colored Man,James Weldon Johnson,,https://en.wikipedia.org/wiki/The_Autobiography_of_an_Ex-Colored_Man,1912,Modernist
27616,The Vanishing Race: The Last Great Indian Council,Joseph K. Dixon,13024815,,1913,Modernist
29562,"The clock that had no hands, and nineteen other essays about advertising",Kaufman,13001403,,1912,Modernist
67937,The Song of Tiadatha,Owen Rutter,21009468,,1920,Modernist
42969,St. Nicholas,George Harley McKnight,18004719,,1917,Modernist
37197,Problems in Periclean Buildings,G. W. Elderkin,13000807,,1912,Modernist
35495,The Radicalism of Shelley and Its Sources,Daniel J. MacDonald,21009014,,1912,Modernist
48645,Library Cataloguing,John Henry Quinn,14004803,,1913,Modernist
52425,Submarine and Anti-submarine,Sir Henry John Newbolt,19004419,,1919,Modernist
70803,Darwin,Gamaliel Bradford,38021962,,1926,Modernist
49214,Sir Isaac Brock,Hugh S. Eayrs,20005298,,1918,Modernist
66344,The Old House: A Novel,Cécile Tormay,,,1922,Modernist
13674,"Chronicle and Romance: Froissart, Malory, Holinshed",Jean Froissart et al.,10011289,,1910,Modernist
72830,The island of stone money : Uap of the Carolines,William Henry Furness,10021760,,1910,Modernist
53155,Out and About London,Thomas Burke,19006415,,1919,Modernist
29850,Woodrow Wilson's Administration and Achievements,Lord and Bryan,21012355,,1921,Modernist
73756,O. Henry memorial award prize stories of 1923,Society of Arts and Sciences et al.,,,1924,Modernist
67771,The Key to the Family Deed Chest: How to Decipher and Study Old Documents,Thoyts,,,1903,Modernist
33371,Raising P. V. Squabs for Profit,John S. Trecartin,20004975,,1920,Modernist
66829,"""Gentlemen prefer blondes"" : The illuminating diary of a professional lady",Loos,,https://en.wikipedia.org/wiki/Gentlemen_Prefer_Blondes_(novel),1925,Modernist
75015,Flood waters,Leland Jamieson,,,1929,Modernist
42990,In Unfamiliar England,Thos. D. Murphy,10003666,,1910,Modernist
48353,Samuel Pepys and the Royal Navy,J. R. Tanner,20011587,,1920,Modernist
67255,The Story of Zephyr: A Christmas Story,Jeanie Oliver Davidson Smith,,,1917,Modernist
66641,A Detailed Account of the Battle of Austerlitz,Karl von Stutterheim,24009173,,1807,Romantic
31879,Coelebs In Search of a Wife,Hannah More,,https://en.wikipedia.org/wiki/Coelebs_in_Search_of_a_Wife,1808,Romantic
67474,The Experienced Angler; or Angling Improved,Robert Venables,,,1825,Romantic
67532,"The Confessions of the Celebrated Countess of Lichtenau, Late Mrs. Rietz",Husen,17005276,,1799,Romantic
70729,Vortigern; an historical play,W. H. Ireland,17021560,https://en.wikipedia.org/wiki/Vortigern_and_Rowena,1832,Romantic
52869,On the Connexion of the Physical Sciences,Mary Somerville,,https://en.wikipedia.org/wiki/On_the_Connexion_of_the_Physical_Sciences,1834,Romantic
72897,"Hardware, estimating, and mill design",William S. Lowndes,,,1807,Romantic
21823,The Butterfly's Ball and the Grasshopper's Feast,Ballantyne and Roscoe,,"https://en.wikipedia.org/wiki/The_Butterfly%27s_Ball,_and_the_Grasshopper%27s_Feast",1802,Romantic
56784,The Theory and Practice of Brewing,Michael Combrune,08028459,,1804,Romantic
12929,A Voyage to Terra Australis — Volume 1,Matthew Flinders,,https://en.wikipedia.org/wiki/A_Voyage_to_Terra_Australis,1814,Romantic
75111,"Memoirs of Dr. Joseph Priestley : To the year 1795, written by himself: with a continuation, to the time of his decease, by his son, Joseph Priestley: and observations on his writings, by Thomas Cooper, President Judge of the 4th. district of Pennsylvania: and the Rev. William Christie.",Joseph Priestley,04005719,,1806,Romantic
39028,Servian Popular Poetry,John Bowring and Vuk Stefanović Karadžić,a24000036,,1827,Romantic
44377,Natural History,Francis L. Hawks,2009367651,,1833,Romantic
55428,The Steam Engine Familiarly Explained and Illustrated,Dionysius Lardner,06029289,,1836,Romantic
61169,Essays on the Microscope,George Adams,07037442,,1798,Romantic
7085,Fanshawe,Nathaniel Hawthorne,,https://en.wikipedia.org/wiki/Fanshawe_(novel),1828,Romantic
29230,"The Indian Princess; Or, La Belle Sauvage",James Nelson Barker,,https://en.wikipedia.org/wiki/The_Indian_Princess_(play),1808,Romantic
5184,Kalevala : the Epic Poem of Finland — Volume 01,Lönnrot and Crawford,,https://en.wikipedia.org/wiki/Kalevala,1835,Romantic
34837,"Domestic French Cookery, 4th ed.",Sulpice Barué,44019364,,1836,Romantic
71060,The anatomy of drunkenness,Robert Macnish,,,1836,Romantic
38232,Calvinistic Controversy,Wilbur Fisk,38019168,,1835,Romantic
7816,The Voyage of Captain Popanilla,Earl of Beaconsfield Benjamin Disraeli,,https://en.wikipedia.org/wiki/Popanilla,1828,Romantic
5131,Childe Harold's Pilgrimage,Baron George Gordon Byron Byron,,https://en.wikipedia.org/wiki/Childe_Harold%27s_Pilgrimage,1812,Romantic
48203,Letters from Spain,Joseph Blanco White,04026639,,1825,Romantic
3769,"Rejected Addresses; Or, The New Theatrum Poetarum",James Smith and Horace Smith,,https://en.wikipedia.org/wiki/Rejected_Addresses,1812,Romantic
57487,"The Juggler's Oracle; or, The Whole Art of Legerdemain Laid Open",H. Boaz,34011774,,1826,Romantic
67695,"Buds and Blossoms; or, Stories for Real Children",active 19th century Lady,,,1832,Romantic
58808,The Dances of Death,Hans Holbein and David Deuchar,49039319,,1803,Romantic
49567,"An account of the plague which raged at Moscow, in 1771",Charles de Mertens,34040155,,1799,Romantic
69417,"Grotesque architecture; or, rural amusement",William Wrighte,,,1815,Romantic
68416,Birds and their nests,Mary Howitt,,,1871,Victorian
