Logging to: C:\Users\19405\Computer_Science\Natural_Language_Processing\Era-Prediction-for-Literature\src\training\deepseek_run_20260426_235759.txt
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Romantic
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Age of Reason
True: Postmodern | Pred: Modernist
True: Postmodern | Pred: Age of Reason
True: Postmodern | Pred: Age of Reason
True: Postmodern | Pred: Modernist
True: Postmodern | Pred: Postmodern
True: Postmodern | Pred: Modernist
True: Modernist | Pred: Victorian
True: Postmodern | Pred: Modernist
True: Modernist | Pred: Modernist
True: Postmodern | Pred: Postmodern
True: Postmodern | Pred: Age of Reason
True: Postmodern | Pred: Age of Reason
