Logging to: /Users/henryzhao/NLP/Era-Prediction-for-Literature/src/training/kimi_run_20260427_183930.txt
Error occurred while processing row 2: Error code: 400 - {'error': {'code': 400, 'message': 'The request was rejected because it was considered high risk', 'param': 'prompt', 'type': 'content_filter'}}
True: Age of Reason | Pred: None
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Romantic
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Victorian
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Age of Reason | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Age of Reason | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Age of Reason | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Romantic
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Modernist | Pred: Modernist
True: Modernist | Pred: Victorian
True: Modernist | Pred: Victorian
True: Postmodern | Pred: Age of Reason
True: Modernist | Pred: Modernist
True: Modernist | Pred: Modernist
True: Postmodern | Pred: Postmodern
True: Modernist | Pred: Modernist
True: Postmodern | Pred: Modernist
True: Postmodern | Pred: Age of Reason
True: Modernist | Pred: Victorian
True: Postmodern | Pred: Age of Reason
True: Postmodern | Pred: Postmodern
True: Postmodern | Pred: Age of Reason
True: Postmodern | Pred: Postmodern
